Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
M4A1-S | Boreal Forest (Field-Tested),0.15,0.15,0.09,0.15,0.09,0.15,0.09
M4A1-S | Boreal Forest (Minimal Wear),0.27,0.27,0.2,0.26,0.2,0.26,0.12
M4A1-S | Boreal Forest (Well-Worn),0.13,0.13,0.08,0.14,0.08,0.15,0.12
M4A1-S | Briefing (Battle-Scarred),3.62,3.62,2.33,3.46,2.33,3.4,2.4
M4A1-S | Briefing (Factory New),14.69,14.69,9.67,14.19,9.67,14.06,9.99
M4A1-S | Briefing (Field-Tested),3.71,3.71,2.59,3.92,2.59,3.97,2.74
M4A1-S | Briefing (Minimal Wear),6.73,6.73,5.02,7.54,5.02,7.36,5.14
M4A1-S | Briefing (Well-Worn),5.76,5.76,4.09,5.75,4.09,5.69,4.09
M4A1-S | Bright Water (Field-Tested),37.95,37.95,27.94,38.93,27.94,38.8,28.03
M4A1-S | Bright Water (Minimal Wear),39.62,39.62,30.0,39.63,30.0,38.68,31.15
M4A1-S | Chantico's Fire (Battle-Scarred),29.99,29.99,22.09,28.84,22.09,28.98,22.18
M4A1-S | Chantico's Fire (Factory New),249.59,249.59,177.75,249.59,177.75,238.62,177.75
M4A1-S | Chantico's Fire (Field-Tested),38.7,38.7,26.57,39.65,26.57,37.55,26.56
M4A1-S | Chantico's Fire (Minimal Wear),81.32,81.32,58.03,83.43,58.03,79.12,58.98
M4A1-S | Chantico's Fire (Well-Worn),31.77,31.77,21.68,31.66,21.68,31.05,21.74
M4A1-S | Control Panel (Battle-Scarred),5.76,5.76,4.18,5.63,4.18,5.57,4.36
M4A1-S | Control Panel (Factory New),48.99,48.99,44.32,49.23,44.32,48.79,44.9
M4A1-S | Control Panel (Field-Tested),6.68,6.68,4.96,6.86,4.96,6.73,4.93
M4A1-S | Control Panel (Minimal Wear),11.54,11.54,10.06,11.5,10.06,11.81,10.12
M4A1-S | Control Panel (Well-Worn),5.56,5.56,4.16,5.83,4.16,6.0,4.18
M4A1-S | Cyrex (Battle-Scarred),32.89,32.89,25.23,33.28,25.23,34.98,25.59
M4A1-S | Cyrex (Factory New),98.03,98.03,79.7,98.9,79.7,96.95,76.0
M4A1-S | Cyrex (Field-Tested),34.28,34.28,25.49,34.5,25.49,34.07,25.27
M4A1-S | Cyrex (Minimal Wear),47.68,47.68,39.52,48.19,39.52,49.69,38.09
M4A1-S | Cyrex (Well-Worn),33.64,33.64,24.94,33.65,24.94,34.5,25.19
M4A1-S | Dark Water (Field-Tested),117.95,117.95,84.22,118.45,84.22,117.68,86.5
M4A1-S | Dark Water (Minimal Wear),130.37,130.37,91.08,130.57,91.08,123.0,91.56
M4A1-S | Decimator (Battle-Scarred),17.3,17.3,11.86,17.49,11.86,18.02,12.01
M4A1-S | Decimator (Factory New),49.42,49.42,36.51,47.97,36.51,52.44,36.69
M4A1-S | Decimator (Field-Tested),18.35,18.35,12.19,18.77,12.19,18.2,12.23
M4A1-S | Decimator (Minimal Wear),26.53,26.53,17.85,28.0,17.85,25.67,17.9
M4A1-S | Decimator (Well-Worn),19.39,19.39,14.63,19.5,14.63,19.55,14.71
M4A1-S | Emphorosaur-S (Battle-Scarred),0.42,0.42,0.27,0.43,0.27,0.42,0.31
M4A1-S | Emphorosaur-S (Factory New),3.06,3.06,2.07,3.08,2.07,2.87,2.16
M4A1-S | Emphorosaur-S (Field-Tested),0.5,0.5,0.29,0.49,0.29,0.46,0.3
M4A1-S | Emphorosaur-S (Minimal Wear),1.18,1.18,0.76,1.11,0.76,1.11,0.83
M4A1-S | Emphorosaur-S (Well-Worn),0.81,0.81,0.54,0.77,0.54,0.84,0.57
M4A1-S | Fade (Factory New),598.03,598.03,426.29,642.47,426.29,625.4,421.18
M4A1-S | Fade (Minimal Wear),635.72,635.72,436.36,636.55,436.36,636.44,427.83
M4A1-S | Fizzy POP (Battle-Scarred),1.45,1.45,1.15,1.61,1.15,1.54,1.25
M4A1-S | Fizzy POP (Factory New),3.25,3.25,2.32,3.47,2.32,3.79,2.43
M4A1-S | Fizzy POP (Field-Tested),1.65,1.65,1.11,1.62,1.11,1.74,1.11
M4A1-S | Fizzy POP (Minimal Wear),2.21,2.21,1.36,2.2,1.36,2.24,1.53
M4A1-S | Fizzy POP (Well-Worn),1.78,1.78,1.16,1.97,1.16,1.67,1.27
M4A1-S | Flashback (Battle-Scarred),0.57,0.57,0.39,0.55,0.39,0.59,0.46
M4A1-S | Flashback (Factory New),3.73,3.73,2.52,3.41,2.52,3.74,2.66
M4A1-S | Flashback (Field-Tested),0.6,0.6,0.41,0.61,0.41,0.58,0.48
M4A1-S | Flashback (Minimal Wear),1.3,1.3,0.78,1.28,0.78,1.2,0.9
M4A1-S | Flashback (Well-Worn),0.57,0.57,0.39,0.55,0.39,0.6,0.48
M4A1-S | Glitched Paint (Battle-Scarred),15.68,15.68,12.14,15.72,12.14,14.9,14.79
M4A1-S | Glitched Paint (Factory New),39.75,39.75,35.1,39.13,35.1,43.39,35.27
M4A1-S | Glitched Paint (Field-Tested),16.17,16.17,13.09,15.91,13.09,15.49,13.48
M4A1-S | Glitched Paint (Minimal Wear),30.44,30.44,24.27,30.33,24.27,30.55,26.12
M4A1-S | Glitched Paint (Well-Worn),17.4,17.4,13.36,17.96,13.36,17.77,16.91
M4A1-S | Golden Coil (Battle-Scarred),54.71,54.71,38.84,56.73,38.84,56.87,38.99
M4A1-S | Golden Coil (Factory New),269.99,269.99,192.69,275.0,192.69,269.37,199.05
M4A1-S | Golden Coil (Field-Tested),79.93,79.93,55.77,79.93,55.77,80.0,54.99
M4A1-S | Golden Coil (Minimal Wear),167.76,167.76,103.89,173.79,103.89,147.82,103.84
M4A1-S | Golden Coil (Well-Worn),59.23,59.23,41.98,61.96,41.98,57.5,42.06
M4A1-S | Guardian (Battle-Scarred),31.45,31.45,22.43,31.65,22.43,30.9,22.51
M4A1-S | Guardian (Factory New),39.91,39.91,26.99,39.8,26.99,41.24,26.99
M4A1-S | Guardian (Field-Tested),28.0,28.0,20.45,29.02,20.45,31.85,20.56
M4A1-S | Guardian (Minimal Wear),31.31,31.31,21.79,35.84,21.79,32.97,21.86
M4A1-S | Guardian (Well-Worn),30.27,30.27,21.52,30.48,21.52,30.2,24.57
M4A1-S | Hot Rod (Factory New),,,2139.99,,2139.99,,2089.99
M4A1-S | Hot Rod (Minimal Wear),,,1636.36,,1636.36,,2199.9
M4A1-S | Hyper Beast (Battle-Scarred),25.25,25.25,17.68,26.28,17.68,24.35,17.64
M4A1-S | Hyper Beast (Factory New),256.45,256.45,189.98,256.45,189.98,259.99,181.77
M4A1-S | Hyper Beast (Field-Tested),31.86,31.86,20.84,31.94,20.84,33.54,21.76
M4A1-S | Hyper Beast (Minimal Wear),69.92,69.92,51.18,70.41,51.18,68.15,49.6
M4A1-S | Hyper Beast (Well-Worn),25.89,25.89,17.8,27.6,17.8,25.93,17.86
M4A1-S | Icarus Fell (Factory New),780.74,780.74,590.74,785.87,590.74,834.94,589.9
M4A1-S | Icarus Fell (Minimal Wear),1150.0,1150.0,584.97,1150.0,584.97,1150.0,584.94
M4A1-S | Imminent Danger (Battle-Scarred),793.45,793.45,781.51,795.85,781.51,795.61,806.32
M4A1-S | Imminent Danger (Factory New),,,1636.09,,1636.09,,1842.25
M4A1-S | Imminent Danger (Field-Tested),,,707.18,,707.18,,707.18
M4A1-S | Imminent Danger (Minimal Wear),,,1090.0,,1090.0,,1090.0
M4A1-S | Imminent Danger (Well-Worn),1024.66,1024.66,680.07,1031.39,680.07,1022.23,682.47
M4A1-S | Knight (Factory New),,,3899.0,,3899.0,,3898.5
M4A1-S | Knight (Minimal Wear),,,2534.51,,2534.51,,2534.51
M4A1-S | Leaded Glass (Battle-Scarred),6.99,6.99,4.31,7.05,4.31,7.08,4.53
M4A1-S | Leaded Glass (Factory New),18.28,18.28,13.46,17.79,13.46,18.08,13.09
M4A1-S | Leaded Glass (Field-Tested),6.97,6.97,4.43,7.07,4.43,7.05,4.6
M4A1-S | Leaded Glass (Minimal Wear),9.4,9.4,6.25,9.56,6.25,9.04,6.17
M4A1-S | Leaded Glass (Well-Worn),8.23,8.23,5.3,8.1,5.3,8.2,5.66
M4A1-S | Master Piece (Battle-Scarred),188.07,188.07,112.51,189.31,112.51,187.62,112.51
M4A1-S | Master Piece (Factory New),486.5,486.5,359.0,489.63,359.0,485.96,359.0
M4A1-S | Master Piece (Field-Tested),205.0,205.0,135.54,185.0,135.54,205.0,134.89
M4A1-S | Master Piece (Minimal Wear),299.0,299.0,207.42,299.0,207.42,299.0,210.43
M4A1-S | Master Piece (Well-Worn),226.81,226.81,108.63,228.3,108.63,225.17,108.63
M4A1-S | Mecha Industries (Battle-Scarred),37.88,35.96,24.96,41.31,24.96,38.57,25.2
M4A1-S | Mecha Industries (Factory New),166.81,166.81,125.0,166.86,125.0,164.08,123.99
M4A1-S | Mecha Industries (Field-Tested),37.32,37.32,26.11,39.9,26.11,36.15,27.86
M4A1-S | Mecha Industries (Minimal Wear),65.21,65.21,46.31,68.13,46.31,68.15,46.31
M4A1-S | Mecha Industries (Well-Worn),41.0,41.0,27.13,39.24,27.13,39.33,28.77
M4A1-S | Moss Quartz (Battle-Scarred),68.4,68.4,44.93,68.4,44.93,65.95,47.91
M4A1-S | Moss Quartz (Factory New),91.19,91.19,67.0,91.79,67.0,90.97,67.0
M4A1-S | Moss Quartz (Field-Tested),50.84,50.84,35.12,50.49,35.12,50.04,38.36
M4A1-S | Moss Quartz (Minimal Wear),66.7,66.7,45.0,66.7,45.0,60.98,52.62
M4A1-S | Moss Quartz (Well-Worn),55.82,55.82,35.44,55.82,35.44,55.82,40.54
M4A1-S | Mud-Spec (Battle-Scarred),0.41,0.41,0.25,0.4,0.25,0.38,0.26
M4A1-S | Mud-Spec (Factory New),1.39,1.39,0.9,1.32,0.9,1.44,0.91
M4A1-S | Mud-Spec (Field-Tested),0.21,0.21,0.14,0.21,0.14,0.21,0.13
M4A1-S | Mud-Spec (Minimal Wear),0.46,0.46,0.27,0.41,0.27,0.42,0.27
M4A1-S | Mud-Spec (Well-Worn),0.36,0.36,0.23,0.37,0.23,0.36,0.24
M4A1-S | Night Terror (Battle-Scarred),1.49,1.49,1.02,1.49,1.02,1.51,1.01
M4A1-S | Night Terror (Factory New),1.95,1.95,1.29,2.0,1.29,1.93,1.38
M4A1-S | Night Terror (Field-Tested),0.49,0.49,0.3,0.52,0.3,0.43,0.32
M4A1-S | Night Terror (Minimal Wear),0.85,0.85,0.53,0.85,0.53,0.84,0.58
M4A1-S | Night Terror (Well-Worn),0.99,0.99,0.68,1.05,0.68,0.99,0.71
M4A1-S | Nightmare (Battle-Scarred),10.23,10.23,7.38,10.25,7.38,10.24,7.4
M4A1-S | Nightmare (Factory New),61.87,61.87,43.28,59.37,43.28,59.13,41.99
M4A1-S | Nightmare (Field-Tested),13.58,13.58,9.33,14.29,9.33,14.19,9.32
M4A1-S | Nightmare (Minimal Wear),29.33,29.33,18.75,29.34,18.75,27.54,19.37
M4A1-S | Nightmare (Well-Worn),10.46,10.46,7.36,11.7,7.36,10.78,7.54
M4A1-S | Nitro (Battle-Scarred),0.31,0.31,0.2,0.31,0.2,0.31,0.23
M4A1-S | Nitro (Factory New),5.12,5.12,3.4,5.14,3.4,5.2,3.8
M4A1-S | Nitro (Field-Tested),0.38,0.38,0.26,0.37,0.26,0.4,0.28
M4A1-S | Nitro (Minimal Wear),1.26,1.26,0.9,1.23,0.9,1.22,0.91
M4A1-S | Nitro (Well-Worn),0.47,0.47,0.35,0.49,0.35,0.49,0.34
M4A1-S | Player Two (Battle-Scarred),22.72,22.72,15.74,22.9,15.74,23.84,15.73
M4A1-S | Player Two (Factory New),186.92,186.92,136.61,186.92,136.61,186.47,136.6
M4A1-S | Player Two (Field-Tested),29.6,29.6,19.9,28.92,19.9,27.67,20.0
M4A1-S | Player Two (Minimal Wear),65.34,65.34,46.45,63.4,46.45,65.02,46.78
M4A1-S | Player Two (Well-Worn),28.83,28.83,20.18,28.8,20.18,27.74,20.19
M4A1-S | Printstream (Battle-Scarred),264.5,264.5,185.5,281.64,185.5,284.25,185.51
M4A1-S | Printstream (Factory New),1080.0,1080.0,717.2,1080.0,717.2,1056.79,721.7
M4A1-S | Printstream (Field-Tested),356.0,356.0,255.62,361.53,255.62,359.0,259.14
M4A1-S | Printstream (Minimal Wear),520.0,520.0,364.9,522.41,364.9,517.5,368.9
M4A1-S | Printstream (Well-Worn),319.15,319.15,219.55,313.86,219.55,313.17,222.99
M4A1-S | Rose Hex (Battle-Scarred),3.38,3.38,2.78,3.41,2.78,3.48,2.75
M4A1-S | Rose Hex (Factory New),5.31,5.31,4.34,5.1,4.34,5.12,4.68
M4A1-S | Rose Hex (Field-Tested),3.52,3.52,2.98,3.4,2.98,3.45,3.08
M4A1-S | Rose Hex (Minimal Wear),4.55,4.55,3.68,4.4,3.68,4.49,3.86
M4A1-S | Rose Hex (Well-Worn),3.52,3.52,3.12,3.6,3.12,3.59,4.14
M4A1-S | Stratosphere (Battle-Scarred),39.74,39.74,29.59,39.59,29.59,38.8,30.79
M4A1-S | Stratosphere (Factory New),250.21,250.21,206.59,243.23,206.59,261.53,227.99
M4A1-S | Stratosphere (Field-Tested),41.37,41.37,35.45,40.48,35.45,43.79,35.81
M4A1-S | Stratosphere (Minimal Wear),103.98,103.98,88.57,108.42,88.57,117.67,89.24
M4A1-S | Stratosphere (Well-Worn),41.19,41.19,32.32,41.02,32.32,40.26,35.03
M4A1-S | Vaporwave (Battle-Scarred),70.08,70.08,52.44,69.5,52.44,70.12,52.81
M4A1-S | Vaporwave (Factory New),283.72,283.72,176.7,279.0,176.7,278.0,177.0
M4A1-S | Vaporwave (Field-Tested),96.8,96.8,68.11,97.75,68.11,99.01,69.5
M4A1-S | Vaporwave (Minimal Wear),179.99,179.99,119.05,179.99,119.05,176.0,120.58
M4A1-S | Vaporwave (Well-Worn),72.28,72.28,56.05,72.35,56.05,72.33,62.06
M4A1-S | VariCamo (Battle-Scarred),0.53,0.53,0.35,0.53,0.35,0.53,0.35
M4A1-S | VariCamo (Factory New),2.59,2.59,1.81,2.6,1.81,2.64,1.81
M4A1-S | VariCamo (Field-Tested),0.8,0.8,0.49,0.8,0.49,0.78,0.52
M4A1-S | VariCamo (Minimal Wear),1.61,1.61,1.13,1.62,1.13,1.63,1.14
M4A1-S | VariCamo (Well-Worn),0.58,0.58,0.4,0.57,0.4,0.57,0.41
M4A1-S | Wash me plz (Battle-Scarred),0.12,0.12,0.08,0.13,0.08,0.14,0.08
M4A1-S | Wash me plz (Factory New),0.47,0.47,0.26,0.48,0.26,0.48,0.27
M4A1-S | Wash me plz (Field-Tested),0.15,0.15,0.09,0.15,0.09,0.15,0.1
M4A1-S | Wash me plz (Minimal Wear),0.25,0.25,0.14,0.25,0.14,0.25,0.18
M4A1-S | Wash me plz (Well-Worn),0.16,0.16,0.08,0.15,0.08,0.16,0.13
M4A1-S | Welcome to the Jungle (Battle-Scarred),1966.08,1966.08,636.36,1979.01,636.36,971.18,640.0
M4A1-S | Welcome to the Jungle (Factory New),,,2499.0,,2499.0,,2499.0
M4A1-S | Welcome to the Jungle (Field-Tested),1698.24,1698.24,1016.99,1663.53,1016.99,1648.75,1010.58
M4A1-S | Welcome to the Jungle (Minimal Wear),,,1593.75,,1593.75,,1709.79
M4A1-S | Welcome to the Jungle (Well-Worn),,,648.5,,648.5,,705.9
M4A4 | Asiimov (Battle-Scarred),106.44,106.44,77.65,117.0,77.65,108.06,78.0
M4A4 | Asiimov (Field-Tested),228.1,228.1,163.27,228.1,163.27,222.29,162.79
M4A4 | Asiimov (Well-Worn),165.43,165.43,120.79,164.81,120.79,165.22,119.74
M4A4 | Bullet Rain (Battle-Scarred),255.24,255.24,75.94,256.31,75.94,255.26,76.21
M4A4 | Bullet Rain (Factory New),90.77,90.77,72.04,90.79,72.04,97.22,75.0
M4A4 | Bullet Rain (Field-Tested),25.55,25.55,18.03,25.18,18.03,24.46,18.1
M4A4 | Bullet Rain (Minimal Wear),31.58,31.58,23.63,30.83,23.63,29.41,23.62
M4A4 | Bullet Rain (Well-Worn),25.22,25.22,21.27,25.22,21.27,25.19,20.77
M4A4 | Buzz Kill (Battle-Scarred),13.14,13.14,9.54,13.07,9.54,13.22,9.68
M4A4 | Buzz Kill (Factory New),56.58,56.58,45.96,58.39,45.96,57.04,43.89
M4A4 | Buzz Kill (Field-Tested),13.8,13.8,9.54,13.64,9.54,13.68,9.54
M4A4 | Buzz Kill (Minimal Wear),22.1,22.1,15.13,21.69,15.13,21.65,15.3
M4A4 | Buzz Kill (Well-Worn),13.89,13.89,10.13,13.89,10.13,13.76,10.13
M4A4 | Choppa (Battle-Scarred),0.07,0.07,0.03,0.07,0.03,0.07,0.05
M4A4 | Choppa (Factory New),0.59,0.59,0.38,0.61,0.38,0.62,0.38
M4A4 | Choppa (Field-Tested),0.1,0.1,0.05,0.1,0.05,0.09,0.07
M4A4 | Choppa (Minimal Wear),0.18,0.18,0.1,0.19,0.1,0.17,0.11
M4A4 | Choppa (Well-Worn),0.08,0.08,0.05,0.08,0.05,0.08,0.05
M4A4 | Converter (Factory New),0.97,0.97,0.7,0.98,0.7,0.98,0.71
M4A4 | Converter (Field-Tested),0.39,0.39,0.27,0.39,0.27,0.4,0.27
M4A4 | Converter (Minimal Wear),0.58,0.58,0.39,0.59,0.39,0.57,0.38
M4A4 | Converter (Well-Worn),0.62,0.62,0.46,0.64,0.46,0.64,0.47
M4A4 | Cyber Security (Battle-Scarred),33.6,33.6,22.24,33.47,22.24,33.54,22.46
M4A4 | Cyber Security (Factory New),87.57,87.57,57.98,86.2,57.98,85.11,63.01
M4A4 | Cyber Security (Field-Tested),35.9,35.9,24.79,37.57,24.79,35.65,24.79
M4A4 | Cyber Security (Minimal Wear),50.57,50.57,35.32,50.49,35.32,52.79,35.31
M4A4 | Cyber Security (Well-Worn),31.88,31.88,24.7,31.88,24.7,32.15,24.79
M4A4 | Dark Blossom (Battle-Scarred),170.97,170.97,35.39,172.09,35.39,172.09,38.18
M4A4 | Dark Blossom (Factory New),46.51,46.51,34.82,47.0,34.82,47.0,37.56
M4A4 | Dark Blossom (Field-Tested),45.92,45.92,33.39,46.0,33.39,46.0,33.39
M4A4 | Dark Blossom (Minimal Wear),44.5,44.5,32.94,44.23,32.94,44.32,32.85
M4A4 | Dark Blossom (Well-Worn),45.6,45.6,33.8,45.9,33.8,45.48,46.67
M4A4 | Daybreak (Battle-Scarred),,,453.8,,453.8,,455.4
M4A4 | Daybreak (Factory New),694.56,694.56,459.0,743.93,459.0,735.6,458.99
M4A4 | Daybreak (Field-Tested),1309.41,1309.41,495.99,1318.02,495.99,1318.02,525.99
M4A4 | Daybreak (Minimal Wear),713.0,713.0,436.38,713.0,436.38,713.0,437.92
M4A4 | Daybreak (Well-Worn),786.43,786.43,380.18,791.6,380.18,784.57,380.18
M4A4 | Desert Storm (Battle-Scarred),26.22,26.22,21.34,26.38,21.34,26.38,21.34
M4A4 | Desert Storm (Factory New),62.91,62.91,41.24,63.32,41.24,62.68,45.51
M4A4 | Desert Storm (Field-Tested),27.52,27.52,20.24,27.67,20.24,28.44,20.24
M4A4 | Desert Storm (Minimal Wear),29.9,29.9,21.64,29.99,21.64,29.99,21.63
M4A4 | Desert Storm (Well-Worn),28.49,28.49,21.78,28.49,21.78,28.44,22.14
M4A4 | Desert-Strike (Battle-Scarred),8.36,8.36,6.14,8.55,6.14,8.55,6.69
M4A4 | Desert-Strike (Factory New),14.83,14.83,11.55,14.87,11.55,14.61,11.79
M4A4 | Desert-Strike (Field-Tested),7.66,7.66,4.62,7.47,4.62,7.78,4.87
M4A4 | Desert-Strike (Minimal Wear),7.86,7.86,5.1,7.91,5.1,7.93,5.12
M4A4 | Desert-Strike (Well-Worn),10.98,10.98,6.7,11.31,6.7,11.34,7.06
M4A4 | Desolate Space (Battle-Scarred),7.94,7.94,5.99,7.94,5.99,7.93,6.12
M4A4 | Desolate Space (Factory New),39.86,39.86,28.86,37.54,28.86,41.44,28.84
M4A4 | Desolate Space (Field-Tested),9.46,9.46,6.23,8.81,6.23,8.93,6.31
M4A4 | Desolate Space (Minimal Wear),15.56,15.56,10.23,15.9,10.23,15.54,10.74
M4A4 | Desolate Space (Well-Worn),8.37,8.37,5.72,8.45,5.72,8.29,5.88
M4A4 | Etch Lord (Battle-Scarred),0.83,0.83,0.56,0.8,0.56,0.82,0.55
M4A4 | Etch Lord (Factory New),3.29,3.29,2.29,3.22,2.29,3.27,2.42
M4A4 | Etch Lord (Field-Tested),0.99,0.99,0.65,1.0,0.65,0.99,0.63
M4A4 | Etch Lord (Minimal Wear),1.57,1.57,1.05,1.66,1.05,1.61,1.07
M4A4 | Etch Lord (Well-Worn),0.86,0.86,0.55,0.85,0.55,0.85,0.55
M4A4 | Evil Daimyo (Battle-Scarred),2.18,2.18,1.78,2.18,1.78,2.26,1.78
M4A4 | Evil Daimyo (Factory New),6.5,6.5,4.3,6.05,4.3,6.53,4.47
M4A4 | Evil Daimyo (Field-Tested),2.31,2.31,1.48,2.45,1.48,2.26,1.69
M4A4 | Evil Daimyo (Minimal Wear),3.36,3.36,2.26,3.4,2.26,3.27,2.43
M4A4 | Evil Daimyo (Well-Worn),2.69,2.69,1.9,2.7,1.9,2.6,1.98
M4A4 | Eye of Horus (Battle-Scarred),189.75,189.75,131.97,189.75,131.97,175.95,131.97
M4A4 | Eye of Horus (Factory New),847.96,847.96,575.48,828.62,575.48,818.48,581.21
M4A4 | Eye of Horus (Field-Tested),277.07,277.07,187.02,280.72,187.02,276.0,189.28
M4A4 | Eye of Horus (Minimal Wear),450.8,450.8,327.34,450.8,327.34,450.8,327.34
M4A4 | Eye of Horus (Well-Worn),259.82,259.82,156.56,260.74,156.56,225.29,153.48
M4A4 | Faded Zebra (Battle-Scarred),5.06,5.06,3.36,5.06,3.36,5.11,3.92
M4A4 | Faded Zebra (Factory New),26.24,26.24,20.25,26.24,20.25,26.24,20.49
M4A4 | Faded Zebra (Field-Tested),4.71,4.71,3.41,5.02,3.41,5.02,3.97
M4A4 | Faded Zebra (Minimal Wear),6.52,6.52,4.64,6.48,4.64,6.13,5.0
M4A4 | Faded Zebra (Well-Worn),7.2,7.2,6.0,7.18,6.0,6.18,6.71
M4A4 | Global Offensive (Battle-Scarred),35.34,35.34,24.51,35.58,24.51,35.26,24.51
M4A4 | Global Offensive (Factory New),38.38,38.38,24.96,38.38,24.96,38.0,24.96
M4A4 | Global Offensive (Field-Tested),37.0,37.0,24.55,37.0,24.55,37.0,24.55
M4A4 | Global Offensive (Minimal Wear),35.9,35.9,25.5,36.14,25.5,37.57,25.5
M4A4 | Global Offensive (Well-Worn),37.99,37.99,26.89,38.1,26.89,38.2,32.38
M4A4 | Griffin (Battle-Scarred),2.65,2.65,2.01,2.64,2.01,2.45,2.12
M4A4 | Griffin (Factory New),6.49,6.49,4.91,7.08,4.91,7.22,5.12
M4A4 | Griffin (Field-Tested),2.77,2.77,2.01,2.81,2.01,2.57,1.89
M4A4 | Griffin (Minimal Wear),3.35,3.35,2.23,3.4,2.23,3.47,2.52
M4A4 | Griffin (Well-Worn),5.08,5.08,3.67,5.15,3.67,5.18,4.74
M4A4 | Hellfire (Battle-Scarred),63.95,63.95,49.59,63.97,49.59,63.98,47.72
M4A4 | Hellfire (Factory New),89.33,89.33,68.11,89.37,68.11,84.15,65.34
M4A4 | Hellfire (Field-Tested),56.23,56.23,41.56,56.14,41.56,55.16,40.7
M4A4 | Hellfire (Minimal Wear),61.81,61.81,44.59,62.22,44.59,61.66,44.54
M4A4 | Hellfire (Well-Worn),57.66,57.66,43.64,57.87,43.64,55.24,43.64
M4A4 | Hellish (Battle-Scarred),24.8,24.8,19.18,23.95,19.18,22.74,19.15
M4A4 | Hellish (Factory New),157.28,157.28,112.65,158.79,112.65,166.21,112.65
M4A4 | Hellish (Field-Tested),38.58,38.58,29.63,38.52,29.63,42.7,29.24
M4A4 | Hellish (Minimal Wear),73.0,73.0,58.07,77.07,58.07,83.0,57.12
M4A4 | Hellish (Well-Worn),24.0,24.0,19.36,25.26,19.36,25.58,18.21
M4A4 | Howl (Factory New),,,7469.93,,7469.93,,8972.21
M4A4 | Howl (Field-Tested),,,4674.11,,4674.11,,4705.53
M4A4 | Howl (Minimal Wear),,,5590.91,,5590.91,,6000.0
M4A4 | Howl (Well-Worn),,,4854.41,,4854.41,,5851.74
M4A4 | In Living Color (Battle-Scarred),7.26,7.26,5.02,7.26,5.02,7.32,5.02
M4A4 | In Living Color (Factory New),43.03,43.03,30.6,45.74,30.6,42.39,30.71
M4A4 | In Living Color (Field-Tested),7.5,7.5,5.07,7.91,5.07,7.51,5.07
M4A4 | In Living Color (Minimal Wear),16.25,16.25,10.99,17.25,10.99,17.08,10.99
M4A4 | In Living Color (Well-Worn),8.81,8.81,6.56,9.21,6.56,9.03,6.6
M4A4 | Jungle Tiger (Battle-Scarred),11.36,11.36,9.28,11.36,9.28,11.38,9.27
M4A4 | Jungle Tiger (Factory New),144.93,144.93,95.45,144.97,95.45,145.01,97.33
M4A4 | Jungle Tiger (Field-Tested),9.79,9.79,7.86,9.79,7.86,9.7,8.46
M4A4 | Jungle Tiger (Minimal Wear),12.24,12.24,8.22,12.2,8.22,12.34,8.22
M4A4 | Jungle Tiger (Well-Worn),10.85,10.85,8.68,10.37,8.68,10.37,8.68
M4A4 | Magnesium (Battle-Scarred),0.16,0.16,0.08,0.18,0.08,0.16,0.13
M4A4 | Magnesium (Factory New),3.25,3.25,2.19,3.04,2.19,3.11,2.19
M4A4 | Magnesium (Field-Tested),0.35,0.35,0.22,0.34,0.22,0.34,0.22
M4A4 | Magnesium (Minimal Wear),0.82,0.82,0.53,0.8,0.53,0.85,0.52
M4A4 | Magnesium (Well-Worn),0.17,0.17,0.11,0.18,0.11,0.17,0.13
M4A4 | Mainframe (Battle-Scarred),0.08,0.08,0.04,0.08,0.04,0.08,0.04
M4A4 | Mainframe (Factory New),0.23,0.23,0.15,0.23,0.15,0.23,0.16
M4A4 | Mainframe (Field-Tested),0.08,0.08,0.05,0.08,0.05,0.08,0.05
M4A4 | Mainframe (Minimal Wear),0.13,0.13,0.08,0.13,0.08,0.13,0.06
M4A4 | Mainframe (Well-Worn),0.08,0.08,0.04,0.09,0.04,0.08,0.05
M4A4 | Modern Hunter (Battle-Scarred),,,64.29,,64.29,,64.21
M4A4 | Modern Hunter (Factory New),651.98,651.98,448.36,656.74,448.36,649.58,454.99
M4A4 | Modern Hunter (Field-Tested),78.62,78.62,56.76,78.62,56.76,78.62,63.67
M4A4 | Modern Hunter (Minimal Wear),127.71,127.71,93.19,128.25,93.19,127.24,93.19
M4A4 | Modern Hunter (Well-Worn),167.73,167.73,80.1,168.43,80.1,167.74,91.02
M4A4 | Naval Shred Camo (Battle-Scarred),0.28,0.28,0.27,0.28,0.27,0.28,0.27
M4A4 | Naval Shred Camo (Factory New),1.05,1.08,0.75,1.06,0.75,1.1,0.97
M4A4 | Naval Shred Camo (Field-Tested),0.46,0.46,0.26,0.41,0.26,0.39,0.37
M4A4 | Naval Shred Camo (Minimal Wear),0.59,0.59,0.44,0.57,0.44,0.54,0.44
M4A4 | Naval Shred Camo (Well-Worn),0.46,0.46,0.27,0.41,0.27,0.49,0.37
M4A4 | Neo-Noir (Battle-Scarred),8.14,8.14,6.08,8.14,6.08,8.53,6.12
M4A4 | Neo-Noir (Factory New),58.97,58.97,42.0,58.39,42.0,57.73,42.0
